tipo_ato;numero;ano;motivo
INSTRUCAO_NORMATIVA;456;2004;manual SPED 4.3.14
INSTRUCAO_NORMATIVA;605;2006;manual SPED 4.3.16
INSTRUCAO_NORMATIVA;660;2006;manuais 4.3.9 e 4.3.16 (o manual diz 660/2004: erro do manual)
INSTRUCAO_NORMATIVA;675;2006;manual SPED 4.3.16
INSTRUCAO_NORMATIVA;757;2007;manual SPED 4.3.16
INSTRUCAO_NORMATIVA;758;2007;manual SPED 4.3.16
INSTRUCAO_NORMATIVA;879;2008;manual SPED 4.3.16
INSTRUCAO_NORMATIVA;1911;2019;manual SPED 4.3.13 (art. 98); cadeia de PIS/COFINS
INSTRUCAO_NORMATIVA;2114;2022;manual SPED 4.3.13 (art. 7º, § 2º)
PORTARIA_CONJUNTA;467;2010;manual SPED 4.3.16 (RFB/Secex)
SOLUCAO_CONSULTA;168;2026;base IOB (COSIT)
INSTRUCAO_NORMATIVA;247;2002;cadeia de PIS/COFINS
INSTRUCAO_NORMATIVA;457;2004;cadeia de PIS/COFINS
INSTRUCAO_NORMATIVA;1717;2017;cadeia de PIS/COFINS
